experiment_name,dataset,track,split,total_split_samples,evaluated_samples,video_input,model,evaluator_judge,overall_mean,pre_evaluation_score,status,notes
official-smoke-3,heico,SEGMENT,TEST,4000,3,raw video use_overlay=False,Qwen/Qwen3-VL-4B-Instruct,official Evaluator + Qwen/Qwen3.5-4B,0.000000,0.000000,completed,Pipeline smoke test; sample size too small for scoring.
official-smoke-100,heico,SEGMENT,TEST,4000,100,raw video use_overlay=False,Qwen/Qwen3-VL-4B-Instruct,official Evaluator + Qwen/Qwen3.5-4B,0.200000,0.186795,completed,First usable baseline; temporal/time questions are the main weakness.
official-overlay-100,heico,SEGMENT,TEST,4000,100,timestamp overlay use_overlay=True,Qwen/Qwen3-VL-4B-Instruct,official Evaluator + Qwen/Qwen3.5-4B,0.210000,0.200886,completed,Official-style 100-sample overlay run; temporal/time improved vs raw 100 but object identification dropped.
official-raw-full-4000,heico,SEGMENT,TEST,4000,4000,raw video use_overlay=False,Qwen/Qwen3-VL-4B-Instruct,official Evaluator + Qwen/Qwen3.5-4B,0.194250,0.364083,completed,Full raw baseline; temporal grounding nearly zero without visible timestamps.
official-overlay-full-4000,heico,SEGMENT,TEST,4000,4000,timestamp overlay use_overlay=True,Qwen/Qwen3-VL-4B-Instruct,official Evaluator + Qwen/Qwen3.5-4B,0.207500,0.372647,completed,Full official-style overlay baseline after regenerating 4 truncated overlay videos; modest improvement over raw full.
qwen3vl-4b-sft-valid5959-e1-overlay-test-100,heico,SEGMENT,TEST,4000,100,timestamp overlay use_overlay=True,Qwen/Qwen3-VL-4B-Instruct + LoRA qwen3vl-4b-sft-valid5959-e1,official Evaluator + Qwen/Qwen3.5-4B,0.350000,0.328905,completed,Small held-out TEST check after full clip-valid LoRA-SFT; strong improvement vs official-overlay-100 but needs full 4000 confirmation.
